#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"好牛嗷，学校打的一手好牌，招生在即所以得把事情压下来呗学弟学妹避避雷嗷，太原师范学院//@_明知须臾景_:转发微博,#太原爆料##太原师范回应 未发生暴力行为# 1学校这份声明写的客观公正么？第一潘和龙同学迟到李呢？她当时在哪里？她是玩去了还是干嘛了？她是因为什么去批评别人的，2对于晚上是潘同学因为害怕发生打斗单方面退缩了没有被打还是你申明的这样呢？3语言上的恐吓就不是伤害了？4难道都这样了还不算脱拽她 ?  展开全文,#太原爆料##太原师范回应 未发生暴力行为# 1学校这份声明写的客观公正么？第一潘和龙同学迟到李呢？她当时在哪里？她是玩去了还是干嘛了？她是因为什么去批评别人的，2对于晚上是潘同学因为害怕发生打斗单方面退缩了没有被打还是你申明的这样呢？3语言上的恐吓就不是伤害了？4难道都这样了还不算脱拽她人衣服？还在找借口？5李同学对于他的所有言行就是这样的态度难道学校就没有一点表示？就这处理问题的方式？6这份申明所说的得到潘同学的认可，你要说明白是他对事实认可还是对你写的这份声明认可？她有没有发表过认可这份申明的言论？7学校声明之前一直相处融洽那解释一下潘同学之前在知乎的提问是干嘛？8为什么一直都是“施暴方”接二连三的发表一些结论性的消息？心理紧张？欲盖弥彰？掩饰什么？9在那份拉扯潘同学衣服的视频中已经明显看到这不是正常活动行为已经超出正常游戏的范围，而且也可以看到潘同学已经在强烈的表示出了不满，可是同学的行为依然在继续，并且拍摄了视频还流出了视频，这是在传播，属于情节严重吧，根据国家刑法第237条规定强制猥亵、侮辱她人就已经是在违法犯罪了。10李同学之前拍桌子摔门这是属于正常交流沟通的行为么？@太原师范学院青年之声 @环球网 @澎湃新闻 @山西公安 @太原师范学院- @封面新闻 @共青团中央 @太原共青团 @女性之声 @微博女性 @平安太原 @四川新闻网 @湖南卫视 @湖南卫视芒果捞 太原 收起全文"
#太原师范学院#这个狗子改名了@太原师范学院- 他在名字后面加了个横杠……可是这有用吗？直接注销微博不是更快？ ?
"//@强国魂9856:@强国魂9856: @强国魂9856: @强国魂9856: 我刘国贤，实名举报太原师范学院教师以不发毕业证威胁学生，有名有姓有地址，有照片，保证举报绝对真实，希望网友支持，欢迎网友监督！网页链接,1、我三篇微博就有1000多万阅读量，这就是正义的力量，我相信邪不压正。2、要不是搞小动作撤热搜，限流，我能把你们干天上去。3、有些护校蛆私信问我，粉丝是不是买的，为啥转评赞那么少？看他们无耻的模样，我感到阵阵悲凉，无耻的大义凛然的，没有谁能超过他们。#起侮辱性绰号也属于欺凌# ?  展开全文,1、我三篇微博就有1000多万阅读量，这就是正义的力量，我相信邪不压正。2、要不是搞小动作撤热搜，限流，我能把你们干天上去。3、有些护校蛆私信问我，粉丝是不是买的，为啥转评赞那么少？看他们无耻的模样，我感到阵阵悲凉，无耻的大义凛然的，没有谁能超过他们。#起侮辱性绰号也属于欺凌##太原师范回应 未发生暴力行为##欺凌未成年人获刑1年半# 收起全文"
我今天也没忘了这事呢@紫光阁 @中国共青团网 @共青团中央 @共青团中央 #太原师范校园暴力##太原师范学院##李梓瑶##李梓瑶 赵湘##李梓瑶今天死了吗# ?
"#芝芝不要妥协#太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频， ?  展开全文,#芝芝不要妥协#太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂得什么叫小群，什么叫QQ空间吗？这也是严重的传播呀，还想怎么传播？这已经涉嫌违法犯罪了。3、叫潘金莲属实吧？这就是侮辱性绰号，也是欺凌。警察叔叔明确的说，侮辱性绰号就是欺凌，学校为什么回避了这个问题？选择性失明？4、学校再解释一下，三星手机和搜狗高速浏览器那两篇微博谁发的？这也是重要问题。5、这些照片不都是王同学本人，看来学校被欺凌的还有其他人呀，如果不是被偷拍，而是明目张胆拍的，这是霸凌的直接证据呀。而且被欺凌的不止一人呀。6、我发现这个学校领导脑子有问题，根本不懂回应，嘴里说学校没责任没问题，但所列举的事实都证明了学校有问题。有点高级黑。7、建议王女生以及其他被霸凌者直接报警解决。学校已经不可信任，已经完全背离了学高为师、身正师范的师范学院的宗旨，还有这个学校有些学生三观不正。#太原师范回应女生遭校园暴力#@王芝芝会有狗的 #起侮辱性绰号也属于欺凌#！#太原师范回应 未发生暴力行为##太原师范学院##正义网友与太原师范王芝芝通话录音# 绵阳·西南科技大学 收起全文"
#太原师范学院#连评论都看不了了，什么垃圾玩意，擦亮眼睛吧，这种不作为的学校@太原师范学院- ?
#太原师范学院#真刚 关闭评论  不回应 包庇施暴者  妄为人师  一群垃圾 ?
"#瑶湘呼应# #太原师范学院# #太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
如何看待太原师范学院回应女学生被扒衣霸凌一事，称为「玩笑过度」？?-?回答作者：张殚?网页链接（想看更多？下载?@知乎?App：知乎） ?
"#赵湘# #太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
